Id,Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price per Area,Pincode
0,48.5,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6736.111111111111,410210
1,45.0,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,7500.0,410210
2,67.0,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10307.692307692309,410210
3,45.0,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6923.076923076923,410210
4,50.0,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7518.796992481203,410210
5,170.0,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8500.0,410210
6,125.0,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0,8064.5161290322585,410210
7,105.0,1370,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,7664.233576642336,410210
8,105.0,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,7743.362831858407,410210
9,150.0,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8928.57142857143,410210
10,87.0,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1,8877.551020408164,410210
11,90.0,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0,9000.0,410210
12,110.0,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10377.358490566037,410210
13,105.0,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,9589.04109589041,410210
14,97.0,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8398.268398268398,410210
15,105.0,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9130.434782608696,410210
16,80.0,1250,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,6400.0,410210
17,85.0,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8585.858585858587,410210
18,93.0,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8627.08719851577,410210
19,99.0,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,8608.695652173914,410210
20,80.0,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6956.521739130435,410210
21,90.0,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8490.566037735849,410210
22,42.0,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6176.470588235294,410210
23,280.0,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11336.032388663967,410210
24,400.0,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19047.619047619046,410210
25,160.0,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7272.727272727273,410210
26,170.0,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,7606.263982102908,410210
27,95.0,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9268.292682926829,410210
28,95.0,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10000.0,410210
29,75.0,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,8379.888268156425,410210
30,85.0,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7630.16157989228,410210
31,130.0,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10860.484544695071,410210
32,137.0,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,9927.536231884058,410210
33,80.0,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7619.047619047619,410210
