iter	RMSE
0	57.59775755
1	52.68300435
2	48.18239017
3	44.27758371
4	40.66177901
5	37.14159254
6	34.20557174
7	31.58197859
8	29.12294988
9	27.09540166
10	25.16307592
11	23.28713432
12	21.71161662
13	20.11922024
14	18.68379469
15	17.32281272
16	16.03236247
17	14.88534197
18	13.8701243
19	12.9206986
20	12.13219309
21	11.30455073
22	10.64143417
23	9.979063118
24	9.427082089
25	8.846629103
26	8.321811957
27	7.884263873
28	7.498766018
29	7.163090846
30	6.872860198
31	6.612538051
32	6.354191706
33	6.080194553
34	5.820739065
35	5.632815557
36	5.418422762
37	5.257994561
38	5.101569786
39	4.944117549
40	4.838120713
41	4.697885963
42	4.590254883
43	4.468903254
44	4.372287086
45	4.289039246
46	4.184311368
47	4.086062287
48	4.010899189
49	3.913270488
50	3.838682324
51	3.762680842
52	3.702016382
53	3.636154987
54	3.570027364
55	3.525921797
56	3.473851358
57	3.415382802
58	3.3595482
59	3.309635296
60	3.266215096
61	3.21766411
62	3.187710187
63	3.141957967
64	3.101685844
65	3.060686764
66	3.023352458
67	2.986996342
68	2.956396968
69	2.909946341
70	2.867506794
71	2.832976994
72	2.809401618
73	2.78152359
74	2.763710903
75	2.729502179
76	2.706725048
77	2.687087896
78	2.661151065
79	2.632599244
80	2.620176082
81	2.597700514
82	2.573470163
83	2.545677225
84	2.52591287
85	2.505735619
86	2.481972111
87	2.461392973
88	2.439621504
89	2.41697912
90	2.402981359
91	2.385468133
92	2.368179351
93	2.351073912
94	2.325830497
95	2.304211476
96	2.28286458
97	2.269460958
98	2.249548985
99	2.227310287
100	2.212377796
101	2.199085181
102	2.180173018
103	2.164035131
104	2.14449853
105	2.130945049
106	2.109694919
107	2.093188911
108	2.077965949
109	2.064895828
110	2.051125819
111	2.036453841
112	2.026547098
113	2.012072115
114	1.994706352
115	1.982480889
116	1.97488218
117	1.962516479
118	1.947535374
119	1.94565793
120	1.935441289
121	1.921773407
122	1.920373562
123	1.911420191
124	1.900986544
125	1.8910256
126	1.878042589
127	1.866454282
128	1.856492981
129	1.855511846
130	1.843492504
131	1.832262415
132	1.831097259
133	1.820888565
134	1.812511479
135	1.805305047
136	1.794456865
137	1.785498542
138	1.775330105
139	1.76784221
140	1.759906475
141	1.750612758
142	1.742866119
143	1.733871718
144	1.727664983
145	1.720290105
146	1.711179758
147	1.70375504
148	1.695083828
149	1.687990457
150	1.682713684
151	1.675228458
152	1.668795087
153	1.662851141
154	1.656655734
155	1.649341124
156	1.641158794
157	1.634290757
158	1.627983832
159	1.621234595
160	1.615439497
161	1.607455214
162	1.600979008
163	1.594308831
164	1.588142301
165	1.581193251
166	1.575110946
167	1.569237295
168	1.563160965
169	1.554815316
170	1.54966421
171	1.544163013
172	1.539372473
173	1.533077114
174	1.528896746
175	1.523348676
176	1.51756642
177	1.512508406
178	1.506007682
179	1.500467798
180	1.495910766
181	1.490240742
182	1.485128224
183	1.481545967
184	1.475744571
185	1.470999091
186	1.467087193
187	1.463035996
188	1.461390948
189	1.456781118
190	1.452638574
191	1.448721734
192	1.442795307
193	1.438276386
194	1.433009045
195	1.429261897
196	1.425947128
197	1.420785962
198	1.417634257
199	1.414045697
200	1.407641316
201	1.403132521
202	1.398513815
203	1.394995675
204	1.39150128
205	1.387324307
206	1.385571802
207	1.382681841
208	1.379397232
209	1.378921194
210	1.374517519
211	1.369854446
212	1.365256213
213	1.360917303
214	1.357725994
215	1.353157202
216	1.349297406
217	1.344995043
218	1.342504612
219	1.339208263
220	1.334150158
221	1.330991457
222	1.329946073
223	1.326967219
224	1.32406987
225	1.321251044
226	1.315808455
227	1.312473218
228	1.309324897
229	1.306900431
230	1.30333599
231	1.299786125
232	1.297195139
233	1.29402978
234	1.290131699
235	1.287418317
236	1.287194914
237	1.284402829
238	1.280617369
239	1.28040999
240	1.278039289
241	1.275889251
242	1.272862818
243	1.272629884
244	1.269763436
245	1.265832173
246	1.262194302
247	1.262033071
248	1.259485831
249	1.255891253
250	1.253236076
251	1.252990871
252	1.249922419
253	1.24621043
254	1.2434062
255	1.241025427
256	1.237139628
257	1.235413667
258	1.232494369
259	1.230289946
260	1.230179731
261	1.227562861
262	1.227416322
263	1.224522786
264	1.221351721
265	1.217629778
266	1.215650105
267	1.213072059
268	1.210814247
269	1.207376122
270	1.205576385
271	1.202812111
272	1.199525571
273	1.196065732
274	1.19395579
275	1.192355774
276	1.189998893
277	1.187768946
278	1.185407762
279	1.182426775
280	1.181139312
281	1.181038946
282	1.178244187
283	1.175310636
284	1.172404514
285	1.17027172
286	1.168114407
287	1.165169858
288	1.163225807
289	1.161212057
290	1.15888429
291	1.156756527
292	1.153595084
293	1.150749585
294	1.148859667
295	1.145636416
296	1.144363245
297	1.142246906
298	1.141511774
299	1.138879923
300	1.1373604
301	1.136431908
302	1.134587978
303	1.133062848
304	1.130577591
305	1.129228011
306	1.126887848
307	1.124065986
308	1.122071961
309	1.120206638
310	1.117249843
311	1.116405742
312	1.114093395
313	1.111037136
314	1.109297471
315	1.107374075
316	1.104009952
317	1.103468509
318	1.102673636
319	1.101082207
320	1.098785657
321	1.097116298
322	1.096035116
323	1.094742575
324	1.092937179
325	1.089413461
326	1.087798403
327	1.086381825
328	1.084764065
329	1.08445427
330	1.082711322
331	1.080328888
332	1.080083369
333	1.0790884
334	1.078205438
335	1.077053412
336	1.074773777
337	1.072944311
338	1.07161052
339	1.06989573
340	1.067626144
341	1.066167611
342	1.064529948
343	1.063502606
344	1.06191611
345	1.060578195
346	1.058183166
347	1.056230067
348	1.054779427
349	1.053372124
350	1.051455156
351	1.049513536
352	1.047395169
353	1.044998759
354	1.043798155
355	1.0415828
356	1.040952412
357	1.038985801
358	1.036775407
359	1.035554514
360	1.035199528
361	1.032435046
362	1.029729887
363	1.027837736
364	1.026530067
365	1.024701452
366	1.023367324
367	1.023275062
368	1.022737882
369	1.021869897
370	1.019784689
371	1.018639023
372	1.016613988
373	1.015046284
374	1.01392479
375	1.011281438
376	1.009596006
377	1.008358004
378	1.006757998
379	1.005240861
380	1.004337778
381	1.003947283
382	1.002136263
383	1.000534196
384	0.9989367759
385	0.9976230896
386	0.9951875559
387	0.9938651046
388	0.9915495795
389	0.9904322543
390	0.9876733583
391	0.985057917
392	0.9840528785
393	0.9826749719
394	0.981004552
395	0.9799697649
396	0.9783570412
397	0.9772521094
398	0.976454848
399	0.9747860674
400	0.972708012
401	0.9709121891
402	0.9693878555
403	0.968046672
404	0.9666358468
405	0.9651949046
406	0.963672869
407	0.962498422
408	0.9603477683
409	0.958700096
410	0.9573817865
411	0.9560689484
412	0.955193984
413	0.9541877033
414	0.9529993572
415	0.9516751882
416	0.9504699838
417	0.9474916784
418	0.9460903682
419	0.9444988017
420	0.9442574394
421	0.943015583
422	0.9419779784
423	0.9416338884
424	0.9405966612
425	0.9394369296
426	0.9382730291
427	0.9372372485
428	0.9362152846
429	0.9353951923
430	0.9343146292
431	0.9330928492
432	0.9318827553
433	0.9303855508
434	0.9291507236
435	0.9272707497
436	0.927198085
437	0.925880691
438	0.9242246001
439	0.9225893145
440	0.9220388908
441	0.9214451274
442	0.9213686029
443	0.9199731938
444	0.9190278807
445	0.9180218291
446	0.9178547014
447	0.9167827214
448	0.9156593005
449	0.9147037114
450	0.9123519788
451	0.9119777901
452	0.9107312112
453	0.9094303687
454	0.9083385814
455	0.9068405596
456	0.9054861976
457	0.9043121556
458	0.9023600874
459	0.9010674834
460	0.8995929111
461	0.8978213188
462	0.8977528155
463	0.8968687327
464	0.8958553939
465	0.8948200769
466	0.894033
