iter	Passed	Remaining
0	5	2631
1	9	2443
2	14	2360
3	18	2275
4	21	2173
5	25	2135
6	30	2123
7	34	2107
8	38	2102
9	42	2095
10	46	2066
11	51	2075
12	55	2064
13	59	2060
14	63	2059
15	67	2052
16	73	2075
17	77	2075
18	81	2070
19	85	2061
20	89	2049
21	93	2035
22	97	2026
23	101	2014
24	105	2001
25	109	1990
26	113	1983
27	117	1979
28	121	1967
29	125	1959
30	128	1950
31	132	1938
32	136	1932
33	140	1923
34	144	1920
35	148	1914
36	152	1905
37	156	1899
38	159	1889
39	163	1880
40	167	1875
41	171	1867
42	175	1865
43	179	1859
44	183	1854
45	187	1847
46	190	1840
47	194	1835
48	198	1829
49	202	1824
50	206	1820
51	211	1818
52	215	1813
53	219	1810
54	222	1804
55	226	1796
56	230	1790
57	234	1788
58	238	1783
59	243	1782
60	247	1778
61	251	1775
62	255	1773
63	259	1767
64	302	2023
65	306	2014
66	310	2007
67	313	1992
68	317	1984
69	321	1972
70	324	1963
71	328	1949
72	331	1937
73	335	1930
74	338	1918
75	341	1907
76	346	1900
77	350	1894
78	352	1879
79	356	1870
80	359	1859
81	363	1853
82	367	1844
83	369	1832
84	373	1824
85	376	1813
86	381	1808
87	384	1800
88	387	1788
89	390	1778
90	394	1772
91	398	1766
92	400	1754
93	404	1746
94	407	1738
95	411	1731
96	414	1722
97	417	1712
98	421	1708
99	425	1703
100	429	1696
101	432	1689
102	436	1680
103	439	1673
104	443	1668
105	446	1660
106	449	1650
107	452	1643
108	456	1638
109	460	1633
110	463	1625
111	467	1618
112	470	1611
113	474	1606
114	477	1599
115	481	1593
116	484	1584
117	487	1578
118	491	1573
119	494	1566
120	497	1558
121	500	1550
122	504	1545
123	507	1539
124	510	1532
125	514	1525
126	517	1521
127	521	1516
128	524	1508
129	528	1503
130	531	1497
131	535	1492
132	539	1487
133	542	1481
134	545	1475
135	549	1471
136	553	1466
137	556	1460
138	560	1455
139	563	1448
140	567	1444
141	570	1439
142	574	1434
143	577	1428
144	580	1422
145	584	1417
146	587	1410
147	591	1406
148	594	1400
149	598	1395
150	602	1391
151	605	1386
152	609	1381
153	612	1376
154	616	1371
155	619	1366
156	623	1361
157	627	1357
158	631	1353
159	634	1349
160	638	1345
161	641	1339
162	645	1334
163	649	1331
164	653	1326
165	657	1322
166	660	1316
167	663	1312
168	667	1307
169	671	1303
170	674	1297
171	677	1292
172	681	1287
173	685	1283
174	688	1278
175	690	1272
176	694	1267
177	697	1262
178	701	1258
179	705	1254
180	708	1249
181	712	1244
182	716	1240
183	719	1236
184	722	1230
185	725	1225
186	729	1221
187	733	1217
188	736	1212
189	739	1207
190	743	1202
191	746	1198
192	749	1192
193	752	1186
194	755	1181
195	758	1175
196	761	1170
197	764	1166
198	767	1160
199	770	1155
200	774	1151
201	777	1147
202	781	1142
203	784	1138
204	787	1133
205	790	1128
206	793	1123
207	797	1118
208	800	1115
209	804	1110
210	807	1105
211	810	1100
212	813	1096
213	817	1092
214	820	1087
215	823	1082
216	827	1079
217	831	1075
218	834	1071
219	837	1066
220	841	1061
221	844	1058
222	847	1053
223	851	1048
224	854	1044
225	858	1040
226	861	1036
227	865	1032
228	868	1028
229	872	1023
230	875	1019
231	879	1015
232	882	1011
233	886	1007
234	890	1003
235	893	999
236	896	994
237	899	989
238	902	985
239	906	981
240	909	977
241	913	973
242	916	969
243	919	965
244	923	961
245	926	956
246	929	952
247	932	947
248	936	943
249	939	939
250	944	936
251	948	933
252	952	929
253	955	925
254	958	920
255	961	916
256	965	912
257	968	908
258	971	903
259	974	899
260	978	895
261	981	891
262	985	888
263	988	883
264	992	880
265	995	875
266	999	871
267	1002	868
268	1006	864
269	1009	859
270	1012	855
271	1016	851
272	1019	847
273	1023	844
274	1027	840
275	1031	836
276	1034	832
277	1038	828
278	1041	824
279	1044	820
280	1047	816
281	1050	812
282	1053	807
283	1057	804
284	1060	800
285	1064	796
286	1067	792
287	1070	788
288	1074	784
289	1078	780
290	1080	776
291	1084	772
292	1087	768
293	1090	764
294	1094	760
295	1097	756
296	1100	751
297	1104	748
298	1107	744
299	1110	740
300	1113	736
301	1117	732
302	1120	728
303	1123	724
304	1127	720
305	1130	716
306	1133	712
307	1137	708
308	1140	704
309	1143	700
310	1146	696
311	1149	692
312	1153	688
313	1156	684
314	1159	680
315	1163	677
316	1166	673
317	1168	668
318	1171	664
319	1173	660
320	1177	656
321	1180	652
322	1183	648
323	1186	644
324	1190	641
325	1193	637
326	1197	633
327	1201	629
328	1204	626
329	1207	622
330	1211	618
331	1214	614
332	1217	610
333	1220	606
334	1224	603
335	1227	598
336	1230	595
337	1233	591
338	1237	587
339	1240	583
340	1244	580
341	1247	576
342	1251	572
343	1254	568
344	1257	564
345	1260	561
346	1263	557
347	1266	553
348	1270	549
349	1272	545
350	1276	541
351	1279	538
352	1283	534
353	1286	530
354	1290	527
355	1294	523
356	1297	519
357	1300	515
358	1303	512
359	1307	508
360	1310	504
361	1312	500
362	1315	496
363	1318	492
364	1321	488
365	1325	485
366	1328	481
367	1331	477
368	1334	473
369	1337	469
370	1340	466
371	1344	462
372	1348	459
373	1352	455
374	1355	451
375	1359	448
376	1362	444
377	1366	441
378	1369	437
379	1372	433
380	1376	429
381	1380	426
382	1383	422
383	1386	418
384	1390	415
385	1393	411
386	1397	408
387	1400	404
388	1404	400
389	1408	397
390	1411	393
391	1415	389
392	1418	386
393	1421	382
394	1424	378
395	1428	375
396	1432	371
397	1436	368
398	1438	364
399	1442	360
400	1446	357
401	1449	353
402	1453	349
403	1455	345
404	1459	342
405	1463	338
406	1467	335
407	1470	331
408	1473	327
409	1476	324
410	1479	320
411	1483	316
412	1487	313
413	1491	309
414	1494	306
415	1498	302
416	1501	298
417	1504	295
418	1508	291
419	1511	287
420	1515	284
421	1518	280
422	1522	277
423	1526	273
424	1529	269
425	1532	266
426	1535	262
427	1539	259
428	1542	255
429	1546	251
430	1549	248
431	1552	244
432	1556	240
433	1559	237
434	1561	233
435	1564	229
436	1567	226
437	1571	222
438	1574	218
439	1578	215
440	1582	211
441	1585	208
442	1589	204
443	1593	200
444	1597	197
445	1601	193
446	1605	190
447	1608	186
448	1612	183
449	1614	179
450	1618	175
451	1622	172
452	1626	168
453	1629	165
454	1633	161
455	1636	157
456	1639	154
457	1644	150
458	1648	147
459	1652	143
460	1655	140
461	1659	136
462	1663	132
463	1667	129
464	1672	125
465	1676	122
466	1680	118
467	1684	115
468	1688	111
469	1693	108
470	1697	104
471	1701	100
472	1705	97
473	1708	93
474	1712	90
475	1716	86
476	1719	82
477	1723	79
478	1726	75
479	1729	72
480	1733	68
481	1737	64
482	1741	61
483	1745	57
484	1749	54
485	1751	50
486	1755	46
487	1758	43
488	1761	39
489	1765	36
490	1767	32
491	1770	28
492	1774	25
493	1784	21
494	1787	18
495	1790	14
496	1794	10
497	1805	7
498	1810	3
499	1814	0
