,Location,Price,geometry,Latitudes,Longitudes
0,Ambarnath,28.18,POINT (73.1822 19.1825),19.1825,73.1822
1,Ambivali,110.0,POINT (73.1728 19.2846),19.2846,73.1728
2,Andheri East,170.0,POINT (72.8568 19.1159),19.1159,72.8568
3,Andheri West,278.999995,POINT (72.8327 19.1172),19.1172,72.8327
4,Asangaon,20.175,POINT (73.3541 19.4149),19.4149,73.3541
5,Badlapur,26.125,POINT (73.2642 19.1552),19.1552,73.2642
6,Balkum,79.0,POINT (73.0355 19.2664),19.2664,73.0355
7,Bandra East,487.5,POINT (72.8562 19.0623),19.0623,72.8562
8,Bandra West,600.0,POINT (72.8299 19.0583),19.0583,72.8299
9,Bangur Nagar,,POINT (72.8347 19.1676),19.1676,72.8347
10,Belapur,150.0,POINT (73.0104 19.0183),19.0183,73.0104
11,Bhandup West,212.5,POINT (72.9456 19.1454),19.1454,72.9456
12,Bhayandar west,105.0,POINT (72.8515 19.3002),19.3002,72.8515
13,Bhayander,55.77,POINT (72.8504 19.3118),19.3118,72.8504
14,Bhiwandi,57.43,POINT (73.0588 19.2815),19.2815,73.0588
15,Boisar,26.0,POINT (72.7512 19.8236),19.8236,72.7512
16,Borivali East,180.0,POINT (72.8622 19.2273),19.2273,72.8622
17,Borivali West,135.0,POINT (72.8448 19.2403),19.2403,72.8448
18,Byculla,45.0,POINT (72.8326 18.979),18.979,72.8326
19,Chembur,165.0,POINT (72.8938 19.2501),19.2501,72.8938
20,Dahisar,117.0,POINT (72.854 19.2502),19.2502,72.854
21,Deonar,145.0,POINT (72.9223 19.0486),19.0486,72.9223
22,Dharavi,140.0,POINT (72.8508 19.0402),19.0402,72.8508
23,Dombivali,45.0,POINT (73.0832 19.2095),19.2095,73.0832
24,Dombivali West,46.5,POINT (73.0972 19.2158),19.2158,73.0972
25,Ghansoli,146.5,POINT (73.0025 19.1188),19.1188,73.0025
26,Ghatkopar,165.0,POINT (72.909 19.0866),19.0866,72.909
27,Ghatkopar East,137.5,POINT (72.9113 19.0797),19.0797,72.9113
28,Ghodbunder Road,120.0,POINT (72.9808 19.2226),19.2226,72.9808
29,Goregaon East,260.0,POINT (72.8777 19.1648),19.1648,72.8777
30,Goregaon West,200.0,POINT (72.8462 19.1646),19.1646,72.8462
31,Govandi,115.0,POINT (72.9148 19.0518),19.0518,72.9148
32,I C Colony,,POINT (72.8028 19.2209),19.2209,72.8028
33,It Colony,,POINT (72.8112 19.2143),19.2143,72.8112
34,Jogeshwari,145.0,POINT (72.8474 19.1342),19.1342,72.8474
35,Jogeshwari East,,POINT (72.8549 19.1326),19.1326,72.8549
36,Juhu,575.0,POINT (72.827 19.107),19.107,72.827
37,Kalamboli,97.5,POINT (73.0997 19.0104),19.0104,73.0997
38,Kalwa,65.0,POINT (73.0859 19.1976),19.1976,73.0859
39,Kalyan,47.0,POINT (73.1523 19.2355),19.2355,73.1523
40,Kalyan East,69.5,POINT (73.1543 19.24),19.24,73.1543
41,Kamothe,70.0,POINT (73.1097 19.0423),19.0423,73.1097
42,Kandivali,165.0,POINT (72.8401 19.2044),19.2044,72.8401
43,Kandivali West,137.99999,POINT (72.8445 19.2015),19.2015,72.8445
44,Kanjurmarg,166.5,POINT (72.9344 19.1396),19.1396,72.9344
45,Karjat,21.0,POINT (73.3265 18.9101),18.9101,73.3265
46,Kavesar,80.0,POINT (72.9988 19.2897),19.2897,72.9988
47,Khar,367.5,POINT (72.83 19.0685),19.0685,72.83
48,Kharghar,90.0,POINT (73.0616 19.0217),19.0217,73.0616
49,Kharodi,65.0,POINT (72.8637 19.1246),19.1246,72.8637
50,Khopoli,45.905,POINT (73.3438 18.7799),18.7799,73.3438
51,Koper Khairane,,POINT (73.0375 19.0637),19.0637,73.0375
52,Kurla,90.0,POINT (72.88 19.0686),19.0686,72.88
53,Kurla East,,POINT (72.8822 19.0734),19.0734,72.8822
54,M G Road,150.0,POINT (72.836 18.95),18.95,72.836
55,Malad East,200.0,POINT (72.866 19.1998),19.1998,72.866
56,Malad West,132.5,POINT (72.8473 19.1856),19.1856,72.8473
57,Marol,190.0,POINT (72.85 19.1334),19.1334,72.85
58,Marwah,160.0,POINT (72.8263 19.0762),19.0762,72.8263
59,Matunga,341.0,POINT (72.8512 19.2739),19.2739,72.8512
60,Mira Road East,76.0,POINT (72.8652 19.2856),19.2856,72.8652
61,Mulund,198.0,POINT (72.952 19.1739),19.1739,72.952
62,Mulund East,,POINT (72.9481 19.1701),19.1701,72.9481
63,Mumbai,45.0,POINT (72.8777 19.076),19.076,72.8777
64,Mumbai Central,,POINT (72.818 18.9678),18.9678,72.818
65,Naigaon East,,POINT (72.8457 19.2663),19.2663,72.8457
66,Nalasopara,26.0,POINT (72.841 19.427),19.427,72.841
67,Nalasopara West,,POINT (72.8428 19.4261),19.4261,72.8428
68,Neral,20.875,POINT (73.3163 19.0255),19.0255,73.3163
69,Nerul,190.0,POINT (73.018 19.033),19.033,73.018
70,Palava,52.75,POINT (73.1178 19.1935),19.1935,73.1178
71,Palghar,30.49,POINT (72.7524 19.4421),19.4421,72.7524
72,Pant Nagar,,POINT (72.8729 19.0558),19.0558,72.8729
73,Parel,455.0,POINT (72.84 19.0053),19.0053,72.84
74,Parsik Nagar,,POINT (73.0343 19.2001),19.2001,73.0343
75,Powai,195.0,POINT (72.8985 19.1198),19.1198,72.8985
76,Prabhadevi,400.0,POINT (72.8261 19.0177),19.0177,72.8261
77,Rasayani,28.0,POINT (73.1213 19.0346),19.0346,73.1213
78,Rawal Pada,,POINT (72.9515 19.1133),19.1133,72.9515
79,Royal Palms Goregaon East,,POINT (72.8795 19.1031),19.1031,72.8795
80,Sakinaka,110.0,POINT (72.881 19.0998),19.0998,72.881
81,Sanpada,180.0,POINT (73.0185 19.0643),19.0643,73.0185
82,Santacruz West,,POINT (72.8356 19.0848),19.0848,72.8356
83,Sewri,155.0,POINT (72.8616 19.0231),19.0231,72.8616
84,Shilphata,55.0,POINT (73.083 19.1939),19.1939,73.083
85,Shimpoli,195.0,POINT (72.848 19.2345),19.2345,72.848
86,Sion,167.5,POINT (72.864 19.0435),19.0435,72.864
87,Taloja,37.745,POINT (73.0968 19.0546),19.0546,73.0968
